City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,borba,-4.3878,-59.5939,296.09,99,100,1.32,BR,1701986449
1,waitangi,-43.9535,-176.5597,286.38,68,87,8.01,NZ,1702106348
2,margaret river,-33.95,115.0667,292.44,52,24,7.48,AU,1702034475
3,el charco,2.4769,-78.1105,297.2,95,74,1.23,CO,1701990207
4,dudinka,69.4058,86.1778,238.24,99,7,1.9,RU,0
5,ilulissat,69.2167,-51.1,268.16,68,75,1.54,GL,0
6,port-aux-francais,-49.35,70.2167,277.45,87,98,15.48,TF,1702048420
7,howrah,22.5892,88.3103,294.15,83,75,3.6,IN,1702034549
8,kruisfontein,-34.0033,24.7314,286.97,78,0,7.4,ZA,1702056176
9,papatowai,-46.5619,169.4708,289.96,58,100,4.75,NZ,1702023848
10,yangambi,0.8102,24.4336,294.5,98,98,0.8,CD,1702052181
11,bilibino,68.0546,166.4372,236.39,99,62,1.05,RU,1701998019
12,ohara,35.25,140.3833,287.71,38,0,1.55,JP,1702020372
13,iskateley,67.6803,53.1512,258.72,96,100,3.58,RU,1702026578
14,wailua homesteads,22.0669,-159.378,298.59,82,75,3.6,US,1702007651
15,balabac,7.9868,117.0645,301.38,75,100,2.16,PH,1702029222
16,hachinohe,40.5,141.5,282.49,51,0,5.89,JP,1702019237
17,blackmans bay,-43.0167,147.3167,291.77,80,82,4.3,AU,1702028364
18,iqaluit,63.7506,-68.5145,259.0,84,0,3.6,CA,1701974992
19,chibougamau,49.9168,-74.3659,247.94,84,0,1.03,CA,1701982610
20,edinburgh of the seven seas,-37.0676,-12.3116,288.05,85,100,7.15,SH,1702065572
21,enewetak,11.3474,162.3373,300.86,78,92,8.84,MH,1702018009
22,yellowknife,62.456,-114.3525,262.44,92,100,2.06,CA,1701986974
23,kizel,59.0471,57.6477,238.28,75,60,0.74,RU,1702034056
24,fujisawa,35.3419,139.47,291.14,35,0,3.95,JP,1702020577
25,labytnangi,66.6572,66.4183,248.63,88,62,3.22,RU,1702025622
26,stanley,54.868,-1.6985,278.02,96,100,3.6,GB,1702050036
27,port alfred,-33.5906,26.891,291.03,85,9,1.79,ZA,1702055593
28,rheurdt,51.4667,6.4667,276.47,83,100,5.12,DE,1702049167
29,gisborne,-38.6533,178.0042,289.99,63,26,3.99,NZ,1702020147
30,albany,42.6001,-73.9662,273.6,89,81,0.45,US,1701984160
31,lautoka,-17.6167,177.4667,306.07,58,40,4.12,FJ,1702017362
32,st. john's,47.5649,-52.7093,270.36,82,75,16.46,CA,1702064390
33,udachny,66.4167,112.4,244.51,82,100,1.61,RU,1702014986
34,ixtapa,20.7,-105.2,299.72,83,75,3.09,MX,1701994803
35,praia da vitoria,38.7333,-27.0667,293.29,88,40,13.56,PT,1702060000
36,chanika,-5.4167,38.0167,294.19,95,82,0.24,TZ,1702049548
37,remire-montjoly,4.9167,-52.2667,298.17,100,75,0.0,GF,1702070182
38,guerrero negro,27.9769,-114.0611,291.26,80,0,7.87,MX,1701996053
39,bereeda,11.8704,51.0579,298.21,63,37,4.44,SO,1702044668
40,fort bragg,35.139,-79.006,280.83,62,0,2.57,US,1701986641
41,west island,-12.1568,96.8225,302.14,70,100,6.69,CC,1702036128
42,egilsstadir,65.2653,-14.3948,271.1,64,100,3.09,IS,1702046862
43,kapuskasing,49.4169,-82.4331,272.15,93,100,3.09,CA,1701984677
44,invercargill,-46.4,168.35,290.87,54,100,4.72,NZ,1702024078
45,igarka,67.4667,86.5833,241.54,94,46,3.73,RU,1702019172
46,lebu,-37.6167,-73.65,285.15,86,0,6.72,CL,1702080397
47,adamstown,-25.066,-130.1015,296.01,81,89,3.87,PN,1702005660
48,kodiak,57.79,-152.4072,269.88,54,0,5.14,US,1701998670
49,grytviken,-54.2811,-36.5092,271.77,87,50,4.73,GS,1702075671
50,vorgashor,67.5833,63.95,248.6,99,100,1.57,RU,1702024279
51,melfi,40.9965,15.6514,276.0,77,2,1.82,IT,1702049350
52,ust-nera,64.5667,143.2,245.05,98,100,2.57,RU,1702009810
53,saipan,15.1355,145.701,302.54,74,40,7.2,MP,1702021604
54,saint-francois,46.4154,3.9054,280.73,100,75,3.09,FR,1702051070
55,aldinga beach,-35.2793,138.4604,307.82,50,100,4.62,AU,1702029069
56,ambovombe,-25.1667,46.0833,297.0,76,34,5.38,MG,1702049809
57,sao joao da barra,-21.6403,-41.0511,297.17,86,4,6.92,BR,1702070296
58,avarua,-21.2078,-159.775,298.18,73,75,6.17,CK,1702012312
59,flying fish cove,-10.4217,105.6791,300.97,78,75,4.63,CX,1702033819
60,vadso,70.0744,29.7487,265.24,79,92,11.83,NO,0
61,puerto natales,-51.7236,-72.4875,280.85,92,87,1.32,CL,1702083414
62,anadyr,64.75,177.4833,252.43,84,6,11.0,RU,1702001411
63,atafu village,-8.5421,-172.5159,302.02,72,86,1.56,TK,1702100414
64,fortaleza,-3.7227,-38.5247,302.63,76,40,5.66,BR,1702067752
65,tiksi,71.6872,128.8694,239.72,100,92,1.48,RU,0
66,bethel,41.3712,-73.414,274.63,84,19,1.6,US,1701984259
67,georgetown,5.4112,100.3354,304.11,70,20,2.57,MY,1702033498
68,la passe,45.5549,-0.8967,284.28,89,100,4.43,FR,1702052414
69,codrington,-38.2667,141.9667,291.55,78,70,3.15,AU,1702028732
70,kamaishi,39.2667,141.8833,283.85,51,0,5.17,JP,1702019361
71,quixada,-4.9714,-39.0153,298.25,82,54,3.05,BR,1702067996
72,ormara,25.2088,64.6357,295.65,57,0,2.45,PK,1702039918
73,felege neway,6.3,36.8833,290.29,79,79,0.32,ET,1702048641
74,hami,42.8,93.45,274.93,39,99,4.02,CN,1702030339
75,thompson,55.7435,-97.8558,266.24,93,75,1.03,CA,1701986414
76,shagonar,51.5333,92.8,260.03,93,100,1.54,RU,1702028433
77,nantucket,41.2835,-70.0995,274.21,55,0,3.6,US,1701983480
78,t'q'ibuli,42.3512,42.9987,283.66,68,100,5.37,GE,1702042533
79,qala i naw,34.9874,63.1289,283.8,22,72,1.03,AF,1702038954
80,puerto ayora,-0.7393,-90.3518,297.34,96,45,1.79,EC,1701993468
81,mahina,-17.5065,-149.489,299.68,78,75,8.75,PF,1702009416
82,san rafael,-34.6177,-68.3301,295.84,34,0,6.19,AR,1702078620
83,afaahiti,-17.75,-149.2833,298.74,86,100,8.49,PF,1702009394
84,sitka,57.0531,-135.33,276.09,87,40,3.6,US,1701994887
85,dunedin,-45.8742,170.5036,288.47,71,100,4.42,NZ,1702023434
86,xinyuan,37.3,99.0,273.47,12,0,6.98,CN,1702029982
87,hamilton,39.1834,-84.5333,282.58,63,100,4.12,US,1701987316
88,nemuro,43.3236,145.575,276.81,52,22,11.27,JP,1702017727
89,shahpur,16.7,76.8333,297.2,66,50,2.87,IN,1702037967
90,yiyang,28.5892,112.3283,295.39,27,58,3.89,CN,1702028043
91,murzuq,25.9155,13.9184,284.72,55,0,4.08,LY,1702052004
92,ribeira grande,38.5167,-28.7,293.02,95,100,10.73,PT,1702060429
93,riolandia,-19.9808,-49.6819,297.9,69,46,4.14,BR,1702072172
94,lorengau,-2.0226,147.2712,300.36,83,100,5.47,PG,1702022975
95,college,64.8569,-147.8028,254.51,81,75,0.0,US,1701992981
96,prado,-17.3411,-39.2208,297.05,90,27,3.57,BR,1702069357
97,boguchany,58.3814,97.4531,243.16,87,61,1.12,RU,1702024824
98,gariaband,20.635,82.0614,294.61,80,49,0.54,IN,1702036275
